name,brand,skinType,mainComponent,presentation,productType,imagePath
Green Tea Fresh Cleanser,Isntree,Oily Skin,Green Tea,Gel,Cleanser,/images/cleansers/Isntree - GreenTeaFreshCleanser.png
Bye Bye Blackhead 30 Days Miracle Bubble Cleanser,SOME BY MI,Oily Skin,Green Tea,Foam ,Cleanser,/images/cleansers/SOME BY MI - ByeByeBlackhead.png
Green Tea Amino Hydrating Cleansing Foam,innisfree,All Skin Types,Green Tea,Foam ,Cleanser,/images/cleansers/innisfree - Green Tea Amino Hydrating Cleansing Foam.png
